run,model,dataset,missing_rate,seed,MAE,MSE,RMSE,MRE,metrics_file
saits/household_power/mr0.3/seed456,saits,household_power,0.3,456,0.16511856323005963,0.16254351838381892,0.403166861713384,0.22738023166082985,output/imputation/cuda/paper_campaign/saits/household_power/mr0.3/seed456/metrics/saits_metrics.json
saits/household_power/mr0.5/seed123,saits,household_power,0.5,123,0.20303604955162843,0.22597412432046338,0.47536735723066154,0.27954123408071246,output/imputation/cuda/paper_campaign/saits/household_power/mr0.5/seed123/metrics/saits_metrics.json
saits/household_power/mr0.5/seed42,saits,household_power,0.5,42,0.19970077782454113,0.21808163310175008,0.4669921124620309,0.2751135185666151,output/imputation/cuda/paper_campaign/saits/household_power/mr0.5/seed42/metrics/saits_metrics.json
saits/household_power/mr0.5/seed456,saits,household_power,0.5,456,0.21052110751656955,0.2208928882089197,0.46999243420391323,0.28995284559174944,output/imputation/cuda/paper_campaign/saits/household_power/mr0.5/seed456/metrics/saits_metrics.json
saits/opsd_germany/mr0.1/seed123,saits,opsd_germany,0.1,123,0.06910304229037056,0.012983299811708319,0.11394428380444681,0.07614996364805397,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.1/seed123/metrics/saits_metrics.json
saits/opsd_germany/mr0.1/seed42,saits,opsd_germany,0.1,42,0.07179319528456664,0.01338938913869302,0.11571252801098514,0.07894455005993559,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.1/seed42/metrics/saits_metrics.json
saits/opsd_germany/mr0.1/seed456,saits,opsd_germany,0.1,456,0.06723616462314382,0.011715763057963083,0.10823937849952338,0.07397733445433727,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.1/seed456/metrics/saits_metrics.json
saits/opsd_germany/mr0.3/seed123,saits,opsd_germany,0.3,123,0.08421146421336775,0.018948120224649524,0.13765217115850198,0.09274176734254239,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.3/seed123/metrics/saits_metrics.json
saits/opsd_germany/mr0.3/seed42,saits,opsd_germany,0.3,42,0.08310992629966667,0.0175370112362965,0.132427380991608,0.09148994777788555,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.3/seed42/metrics/saits_metrics.json
saits/opsd_germany/mr0.3/seed456,saits,opsd_germany,0.3,456,0.08114961665557668,0.016996515979048218,0.13037068680899175,0.08941321376470922,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.3/seed456/metrics/saits_metrics.json
saits/opsd_germany/mr0.5/seed123,saits,opsd_germany,0.5,123,0.1315754501052508,0.04673412742641802,0.21618077487699505,0.14488955808757173,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.5/seed123/metrics/saits_metrics.json
saits/opsd_germany/mr0.5/seed42,saits,opsd_germany,0.5,42,0.1289132121547778,0.04130831494919796,0.20324447089453127,0.14192616621989157,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.5/seed42/metrics/saits_metrics.json
saits/opsd_germany/mr0.5/seed456,saits,opsd_germany,0.5,456,0.11847436135795218,0.03477575735865323,0.1864825926424588,0.1304521510852145,output/imputation/cuda/paper_campaign/saits/opsd_germany/mr0.5/seed456/metrics/saits_metrics.json
saits/physionet_2012/mr0.1/seed123,saits,physionet_2012,0.1,123,0.2960340296224016,0.29489161916654005,0.5430392427500429,0.42932855186717506,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.1/seed123/metrics/saits_metrics.json
saits/physionet_2012/mr0.1/seed42,saits,physionet_2012,0.1,42,0.30420421171247786,0.4230114184223589,0.6503932798102691,0.4326203133471339,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.1/seed42/metrics/saits_metrics.json
saits/physionet_2012/mr0.1/seed456,saits,physionet_2012,0.1,456,0.311524428015363,0.46720814172055075,0.6835262553264144,0.43885863982999834,output/imputation/cuda/paper_campaign/saits/physionet_2012/mr0.1/seed456/metrics/saits_metrics.json
